date,net_pnl,duration_seconds
2022-02-05,-2592.49,86400.000
2022-02-07,383.65,110700.000
2022-02-09,-132.49,13260.000
2022-02-09,-107.14,4620.000
2022-02-10,-70.39,19020.000
2022-02-12,-75.97,1920.000
2022-02-13,-54.60,6420.000
2022-02-14,-79.10,19380.000
2022-02-16,-4424.91,831600.000
2022-02-17,-72.75,24060.000
2022-02-21,-11405.01,375300.000
2022-02-21,-95.26,13740.000
2022-02-21,1827.95,45900.000
2022-02-23,2973.45,164700.000
2022-02-23,113.84,91800.000
2022-02-24,9454.72,64800.000
2022-02-24,9950.94,59400.000
2022-02-24,-247.16,8700.000
2022-02-27,-137.10,191700.000
2022-02-27,-73.90,8760.000
2022-02-28,6302.03,140400.000
2022-02-28,589.54,27120.000
2022-03-03,-108.71,14580.000
2022-03-03,-4528.20,256500.000
2022-03-05,-7710.49,178200.000
2022-03-06,2621.18,64800.000
2022-03-07,1232.51,97200.000
2022-03-07,-107.81,5340.000
2022-03-08,-110.05,29520.000
2022-03-10,-5082.65,218700.000
2022-03-10,-3468.17,64800.000
2022-03-11,2616.47,18900.000
2022-03-11,-139.37,5580.000
2022-03-12,-69.02,30900.000
2022-03-13,-36.21,18900.000
2022-03-14,-89.81,8940.000
2022-03-15,3479.85,334800.000
2022-03-16,336.49,37320.000
2022-03-20,113.41,124200.000
2022-03-21,-3032.34,531900.000
2022-03-22,294.28,7920.000
2022-03-22,4653.14,91800.000
2022-03-23,2437.15,86400.000
2022-03-23,2051.87,40500.000
2022-03-23,-73.16,5520.000
2022-03-27,128.31,29340.000
2022-03-31,-51.32,1920.000
2022-03-31,-9565.03,685800.000
2022-04-01,-427.37,91800.000
2022-04-01,-92.75,1560.000
2022-04-02,853.11,97200.000
2022-04-03,202.21,48240.000
2022-04-03,1019.20,99900.000
2022-04-04,1709.21,62100.000
2022-04-05,1390.83,75600.000
2022-04-05,-80.93,53400.000
2022-04-05,1124.67,10800.000
2022-04-08,-4700.79,232200.000
2022-04-08,-60.04,7440.000
2022-04-08,909.84,18900.000
2022-04-10,-1387.43,124200.000
2022-04-10,-43.19,23760.000
2022-04-10,-38.47,3360.000
2022-04-10,144.32,18060.000
2022-04-12,7323.65,243000.000
2022-04-13,-71.63,7860.000
2022-04-13,3070.25,67500.000
2022-04-14,121.46,70200.000
2022-04-14,-999.93,78300.000
2022-04-15,-2190.01,72900.000
2022-04-16,-26.30,56700.000
2022-04-16,0.83,113400.000
2022-04-17,-40.43,3540.000
2022-04-17,-34.41,17940.000
2022-04-18,143.14,178200.000
2022-04-20,142.21,162000.000
2022-04-21,280.56,47280.000
2022-04-22,1797.96,342900.000
2022-04-23,-37.00,3780.000
2022-04-25,1676.13,270000.000
2022-04-26,159.20,67500.000
2022-04-26,4391.38,78300.000
2022-04-27,1533.61,54000.000
2022-04-27,-110.05,7680.000
2022-04-29,578.46,183600.000
2022-05-01,-1038.46,194400.000
2022-05-01,-61.42,2820.000
2022-05-02,88.48,54000.000
2022-05-02,-110.07,91800.000
2022-05-04,1559.81,137700.000
2022-05-04,231.03,38400.000
2022-05-05,5271.65,113400.000
2022-05-11,-206.26,4500.000
2022-05-13,47.96,59400.000
2022-05-15,-141.50,15360.000
2022-05-15,-17803.53,880200.000
2022-05-17,-3.77,43200.000
2022-05-18,-122.07,16980.000
2022-05-20,71.38,59400.000
2022-05-20,6356.07,415800.000
2022-05-21,-61.05,1260.000
2022-05-22,145.86,2160.000
2022-05-22,3321.11,153900.000
2022-05-23,1877.35,118800.000
2022-05-25,-63.03,43200.000
2022-05-28,-61.84,4620.000
2022-05-29,63.52,491400.000
2022-06-01,-54.12,5640.000
2022-06-01,-61.56,4980.000
2022-06-01,-2916.11,275400.000
2022-06-03,-83.94,39240.000
2022-06-05,-44.67,12360.000
2022-06-05,-45.12,2820.000
2022-06-05,-719.33,348300.000
2022-06-07,1953.79,116100.000
2022-06-07,7117.80,67500.000
2022-06-07,-123.28,9120.000
2022-06-09,-57.60,9720.000
