date,total_equity,capital
2021-09-08,10052.84,10000.00
2021-09-09,10052.51,10000.00
2021-09-10,10052.50,10000.00
2021-09-11,10052.44,10000.00
2021-09-12,10051.76,10000.00
2021-09-13,10052.45,10000.00
2021-09-14,10052.81,10000.00
2021-09-15,10053.12,10000.00
2021-09-16,10053.22,10000.00
2021-09-17,10053.15,10000.00
2021-09-18,10053.12,10000.00
2021-09-19,10053.36,10000.00
2021-09-20,10053.79,10000.00
2021-09-21,10053.71,10000.00
2021-09-22,10053.16,10000.00
2021-09-23,10053.18,10000.00
2021-09-24,10053.17,10000.00
2021-09-25,10052.82,10000.00
2021-09-26,10052.90,10000.00
2021-09-27,10052.81,10000.00
2021-09-28,10052.96,10000.00
2021-09-29,10053.63,10000.00
2021-09-30,10053.49,10000.00
2021-10-01,10053.55,10000.00
2021-10-02,10054.59,10000.00
2021-10-03,10054.10,10000.00
2021-10-04,10054.02,10000.00
2021-10-05,10054.37,10000.00
2021-10-06,10054.01,10000.00
2021-10-07,10054.53,10000.00
2021-10-08,10054.55,10000.00
2021-10-09,10054.51,10000.00
2021-10-10,10054.18,10000.00
2021-10-11,10053.98,10000.00
2021-10-12,10053.46,10000.00
2021-10-13,10053.35,10000.00
2021-10-14,10053.45,10000.00
2021-10-15,10053.45,10000.00
2021-10-16,10053.73,10000.00
2021-10-17,10055.11,10000.00
2021-10-18,10054.99,10000.00
2021-10-19,10054.90,10000.00
2021-10-20,10055.31,10000.00
2021-10-21,10056.26,10000.00
2021-10-22,10056.51,10000.00
2021-10-23,10056.57,10000.00
2021-10-24,10059.69,10000.00
2021-10-25,10060.52,10000.00
2021-10-26,10061.07,10000.00
2021-10-27,10060.73,10000.00
2021-10-28,10060.49,10000.00
2021-10-29,10060.66,10000.00
2021-10-30,10061.14,10000.00
2021-10-31,10061.06,10000.00
2021-11-01,10061.25,10000.00
2021-11-02,10062.04,10000.00
2021-11-03,10061.52,10000.00
2021-11-04,10061.31,10000.00
2021-11-05,10061.66,10000.00
2021-11-06,10061.58,10000.00
2021-11-07,10061.65,10000.00
2021-11-08,10061.99,10000.00
2021-11-09,10062.16,10000.00
2021-11-10,10063.27,10000.00
2021-11-11,10063.88,10000.00
2021-11-12,10063.74,10000.00
2021-11-13,10063.66,10000.00
2021-11-14,10063.05,10000.00
2021-11-15,10062.14,10000.00
2021-11-16,10064.44,10000.00
2021-11-17,10062.75,10000.00
2021-11-18,10063.20,10000.00
2021-11-19,10063.16,10000.00
2021-11-20,10063.97,10000.00
2021-11-21,10064.04,10000.00
2021-11-22,10062.32,10000.00
2021-11-23,10064.03,10000.00
2021-11-24,10063.89,10000.00
2021-11-25,10064.31,10000.00
2021-11-26,10064.37,10000.00
2021-11-27,10064.05,10000.00
2021-11-28,10063.84,10000.00
2021-11-29,10064.42,10000.00
2021-11-30,10064.45,10000.00
2021-12-01,10064.33,10000.00
2021-12-02,10065.29,10000.00
2021-12-03,10066.04,10000.00
2021-12-04,10066.61,10000.00
2021-12-05,10068.48,10000.00
2021-12-06,10070.64,10000.00
2021-12-07,10070.37,10000.00
2021-12-08,10069.89,10000.00
2021-12-09,10070.80,10000.00
2021-12-10,10070.32,10000.00
2021-12-11,10070.37,10000.00
2021-12-12,10067.83,10000.00
2021-12-13,10068.07,10000.00
2021-12-14,10069.51,10000.00
2021-12-15,10069.62,10000.00
2021-12-16,10068.54,10000.00
2021-12-17,10068.86,10000.00
2021-12-18,10068.01,10000.00
2021-12-19,10069.23,10000.00
2021-12-20,10068.86,10000.00
2021-12-21,10070.23,10000.00
2021-12-22,10070.46,10000.00
2021-12-23,10070.57,10000.00
2021-12-24,10070.29,10000.00
2021-12-25,10069.57,10000.00
2021-12-26,10070.18,10000.00
2021-12-27,10069.11,10000.00
2021-12-28,10069.99,10000.00
2021-12-29,10069.19,10000.00
2021-12-30,10068.65,10000.00
2021-12-31,10068.76,10000.00
2022-01-01,10068.89,10000.00
2022-01-02,10070.77,10000.00
2022-01-03,10071.59,10000.00
2022-01-04,10069.40,10000.00
2022-01-05,10070.77,10000.00
2022-01-06,10070.72,10000.00
2022-01-07,10070.57,10000.00
2022-01-08,10070.49,10000.00
2022-01-09,10073.55,10000.00
2022-01-10,10072.68,10000.00
2022-01-11,10073.17,10000.00
2022-01-12,10072.91,10000.00
2022-01-13,10069.41,10000.00
2022-01-14,10069.43,10000.00
2022-01-15,10068.35,10000.00
2022-01-16,10069.12,10000.00
2022-01-17,10069.75,10000.00
2022-01-18,10069.34,10000.00
2022-01-19,10067.87,10000.00
2022-01-20,10068.26,10000.00
2022-01-21,10068.29,10000.00
2022-01-22,10068.19,10000.00
2022-01-23,10066.19,10000.00
2022-01-24,10066.48,10000.00
2022-01-25,10066.65,10000.00
2022-01-26,10066.56,10000.00
2022-01-27,10068.39,10000.00
2022-01-28,10068.73,10000.00
2022-01-29,10068.59,10000.00
2022-01-30,10069.87,10000.00
2022-01-31,10069.58,10000.00
2022-02-01,10069.23,10000.00
2022-02-02,10069.69,10000.00
2022-02-03,10069.80,10000.00
2022-02-04,10069.59,10000.00
2022-02-05,10069.18,10000.00
2022-02-06,10069.30,10000.00
2022-02-07,10069.69,10000.00
2022-02-08,10070.99,10000.00
2022-02-09,10071.92,10000.00
2022-02-10,10073.73,10000.00
2022-02-11,10074.37,10000.00
2022-02-12,10074.89,10000.00
2022-02-13,10076.53,10000.00
2022-02-14,10076.26,10000.00
2022-02-15,10078.38,10000.00
2022-02-16,10078.48,10000.00
2022-02-17,10078.73,10000.00
2022-02-18,10078.25,10000.00
2022-02-19,10078.74,10000.00
2022-02-20,10078.35,10000.00
2022-02-21,10078.86,10000.00
2022-02-22,10078.43,10000.00
2022-02-23,10077.89,10000.00
2022-02-24,10077.36,10000.00
2022-02-25,10078.15,10000.00
2022-02-26,10078.32,10000.00
2022-02-27,10081.10,10000.00
2022-02-28,10083.62,10000.00
2022-03-01,10088.99,10000.00
2022-03-02,10087.79,10000.00
2022-03-03,10089.02,10000.00
2022-03-04,10088.57,10000.00
2022-03-05,10089.76,10000.00
2022-03-06,10094.75,10000.00
2022-03-07,10090.40,10000.00
2022-03-08,10092.64,10000.00
2022-03-09,10093.39,10000.00
2022-03-10,10094.75,10000.00
2022-03-11,10094.94,10000.00
2022-03-12,10095.51,10000.00
2022-03-13,10098.75,10000.00
2022-03-14,10098.05,10000.00
2022-03-15,10099.63,10000.00
2022-03-16,10098.07,10000.00
2022-03-17,10096.09,10000.00
2022-03-18,10092.18,10000.00
2022-03-19,10095.00,10000.00
2022-03-20,10094.17,10000.00
2022-03-21,10088.60,10000.00
2022-03-22,10094.44,10000.00
2022-03-23,10092.11,10000.00
2022-03-24,10090.30,10000.00
2022-03-25,10090.62,10000.00
2022-03-26,10093.88,10000.00
2022-03-27,10096.50,10000.00
2022-03-28,10096.57,10000.00
2022-03-29,10096.01,10000.00
2022-03-30,10097.34,10000.00
2022-03-31,10096.47,10000.00
2022-04-01,10096.21,10000.00
2022-04-02,10097.78,10000.00
2022-04-03,10096.25,10000.00
2022-04-04,10092.08,10000.00
2022-04-05,10092.54,10000.00
2022-04-06,10094.98,10000.00
2022-04-07,10094.44,10000.00
2022-04-08,10095.51,10000.00
2022-04-09,10095.93,10000.00
2022-04-10,10098.21,10000.00
2022-04-11,10095.72,10000.00
2022-04-12,10097.15,10000.00
2022-04-13,10096.60,10000.00
2022-04-14,10093.66,10000.00
2022-04-15,10090.54,10000.00
2022-04-16,10092.12,10000.00
2022-04-17,10089.93,10000.00
2022-04-18,10090.40,10000.00
2022-04-19,10087.87,10000.00
2022-04-20,10090.00,10000.00
2022-04-21,10090.40,10000.00
2022-04-22,10091.48,10000.00
2022-04-23,10091.54,10000.00
2022-04-24,10093.39,10000.00
2022-04-25,10093.06,10000.00
2022-04-26,10090.82,10000.00
2022-04-27,10091.12,10000.00
2022-04-28,10090.37,10000.00
2022-04-29,10090.08,10000.00
2022-04-30,10089.60,10000.00
2022-05-01,10090.42,10000.00
2022-05-02,10087.34,10000.00
2022-05-03,10084.99,10000.00
2022-05-04,10085.66,10000.00
2022-05-05,10089.42,10000.00
2022-05-06,10090.57,10000.00
2022-05-07,10090.64,10000.00
2022-05-08,10089.74,10000.00
2022-05-09,10088.93,10000.00
2022-05-10,10087.77,10000.00
2022-05-11,10089.69,10000.00
2022-05-12,10087.41,10000.00
2022-05-13,10087.40,10000.00
2022-05-14,10088.12,10000.00
2022-05-15,10089.52,10000.00
2022-05-16,10088.18,10000.00
2022-05-17,10092.85,10000.00
2022-05-18,10091.86,10000.00
2022-05-19,10093.52,10000.00
2022-05-20,10093.56,10000.00
2022-05-21,10092.87,10000.00
2022-05-22,10098.08,10000.00
2022-05-23,10096.79,10000.00
2022-05-24,10095.79,10000.00
2022-05-25,10094.53,10000.00
2022-05-26,10095.17,10000.00
2022-05-27,10095.90,10000.00
2022-05-28,10095.10,10000.00
2022-05-29,10096.02,10000.00
2022-05-30,10095.02,10000.00
2022-05-31,10094.25,10000.00
2022-06-01,10094.96,10000.00
2022-06-02,10094.17,10000.00
2022-06-03,10094.36,10000.00
2022-06-04,10094.36,10000.00
2022-06-05,10095.39,10000.00
2022-06-06,10097.18,10000.00
2022-06-07,10097.74,10000.00
2022-06-08,10097.39,10000.00
2022-06-09,10095.91,10000.00
2022-06-10,10095.91,10000.00
2022-06-11,10096.25,10000.00
2022-06-12,10096.12,10000.00
2022-06-13,10093.91,10000.00
2022-06-14,10094.88,10000.00
2022-06-15,10093.39,10000.00
2022-06-16,10092.66,10000.00
2022-06-17,10092.79,10000.00
2022-06-18,10093.25,10000.00
2022-06-19,10093.14,10000.00
2022-06-20,10091.75,10000.00
2022-06-21,10091.52,10000.00
2022-06-22,10091.46,10000.00
2022-06-23,10090.75,10000.00
2022-06-24,10090.88,10000.00
2022-06-25,10089.85,10000.00
2022-06-26,10086.86,10000.00
2022-06-27,10088.43,10000.00
2022-06-28,10087.44,10000.00
2022-06-29,10088.31,10000.00
2022-06-30,10087.03,10000.00
2022-07-01,10087.58,10000.00
2022-07-02,10089.37,10000.00
2022-07-03,10089.53,10000.00
2022-07-04,10088.74,10000.00
2022-07-05,10086.84,10000.00
2022-07-06,10083.78,10000.00
2022-07-07,10083.21,10000.00
2022-07-08,10084.80,10000.00
2022-07-09,10082.51,10000.00
2022-07-10,10083.28,10000.00
2022-07-11,10084.60,10000.00
2022-07-12,10084.26,10000.00
2022-07-13,10083.97,10000.00
2022-07-14,10084.48,10000.00
2022-07-15,10085.82,10000.00
2022-07-16,10087.38,10000.00
2022-07-17,10091.33,10000.00
2022-07-18,10091.60,10000.00
2022-07-19,10090.74,10000.00
2022-07-20,10090.61,10000.00
2022-07-21,10093.32,10000.00
2022-07-22,10093.78,10000.00
2022-07-23,10094.82,10000.00
2022-07-24,10094.14,10000.00
2022-07-25,10092.51,10000.00
2022-07-26,10092.04,10000.00
2022-07-27,10092.42,10000.00
2022-07-28,10094.52,10000.00
2022-07-29,10094.39,10000.00
2022-07-30,10094.87,10000.00
2022-07-31,10093.43,10000.00
2022-08-01,10092.81,10000.00
2022-08-02,10091.23,10000.00
2022-08-03,10091.99,10000.00
2022-08-04,10088.13,10000.00
2022-08-05,10087.26,10000.00
2022-08-06,10084.80,10000.00
2022-08-07,10080.61,10000.00
2022-08-08,10082.66,10000.00
